id,category,type,model,seats,doors,baggageCapacity,dailyRate,fuelType,transmissionType,available
E001,Economy,Compact,Perodua Axia,5,4,1_Small,100,Petrol,Manual,true
E002,Economy,Compact,Proton Saga,5,4,2_Small,115,Petrol,Auto,true
E003,Economy,Sedan,Toyota Vios,5,4,2_Medium,145,Petrol,Auto,true
E004,Economy,Sedan,Honda City,5,4,2_Medium,155,Petrol,Auto,true
E005,Economy,Hatchback,Perodua Myvi,5,5,1-2_Small,115,Petrol,Auto,true
E006,Economy,Subcompact,Perodua Bezza,5,4,1-2_Small,110,Petrol,Auto,true
E007,Economy,SUV,Proton X50,5,5,2_Medium,165,Petrol,Auto,true
E008,Economy,SUV,Perodua Ativa,5,5,2_Medium,155,Petrol,Auto,true
E009,Economy,MPV,Perodua Alza,7,5,2_Medium,175,Petrol,Auto,true
E010,Economy,MPV,Toyota Avanza,7,5,2_Medium,195,Petrol,Auto,true
E011,Economy,Pickup,Toyota Hilux,5,4,Open Bed,200,Diesel,Manual,true
E012,Economy,Crossover,Proton X70,5,5,2-3_Medium,180,Petrol,Auto,true
E013,Economy,Wagon,Subaru XV,5,5,2_Medium,185,Petrol,Auto,true
E014,Economy,Mini Van,Nissan NV200,7,5,2_Large,200,Petrol,Auto,true
E015,Economy,Hybrid Sedan,Toyota Corolla Altis Hybrid,5,4,2_Medium,175,Hybrid,Auto,true